,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,245,255,255,249,255,255,254,255,255,255,253,254,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255
1,255,251,255,253,249,255,255,252,248,252,255,255,255,254,254,254,255,255,255,255,255,255,255,255,255,255,255,255
2,253,255,255,251,253,255,255,250,255,255,255,255,255,253,251,252,255,255,255,255,255,255,255,255,255,255,255,255
3,249,255,254,255,255,252,255,255,249,246,244,246,251,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
4,252,255,251,255,255,248,255,255,255,255,255,249,251,255,255,252,255,255,255,255,255,255,255,255,255,255,255,255
5,255,255,246,255,251,250,255,216,222,253,255,255,255,255,255,246,255,255,255,255,255,255,255,255,255,255,255,255
6,255,255,247,255,250,255,231,104,69,161,242,255,248,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
7,251,255,250,255,253,255,196,0,0,119,244,255,250,251,255,255,255,255,255,255,255,255,255,255,255,255,255,255
8,255,254,254,255,254,251,209,9,0,47,255,254,249,255,249,255,255,255,248,251,255,255,255,255,255,255,255,255
9,255,255,255,255,254,255,220,21,0,30,235,253,250,255,248,250,238,253,255,255,255,255,255,255,255,255,255,255
10,252,255,255,255,253,255,233,38,0,17,213,255,248,255,255,255,255,255,255,251,248,253,254,250,255,255,255,255
11,251,255,255,255,250,255,244,56,0,14,199,255,252,246,248,253,253,250,251,255,255,255,255,255,255,255,255,255
12,253,255,255,255,247,255,250,73,2,12,163,249,255,255,255,250,255,255,255,254,250,254,252,246,255,255,255,255
13,255,255,255,255,247,255,254,92,0,0,38,94,115,131,132,116,85,82,68,73,139,229,255,255,255,255,255,255
14,255,252,254,255,249,254,255,110,24,0,0,0,0,4,4,0,7,0,0,43,137,227,255,254,255,255,255,255
15,255,249,252,255,251,253,255,122,0,3,5,1,0,0,2,0,0,25,103,205,255,255,253,255,255,255,255,255
16,255,255,249,255,252,255,251,153,0,9,85,147,138,114,115,134,182,218,251,255,255,255,255,253,255,255,255,255
17,253,255,249,255,252,255,255,168,9,5,123,251,249,241,251,255,239,255,255,255,252,254,255,252,255,255,255,255
18,253,255,251,255,251,255,255,189,0,0,111,255,255,255,249,255,255,255,255,249,249,255,255,255,255,255,255,255
19,255,255,255,255,250,252,255,208,8,8,111,241,255,255,239,255,252,253,250,248,252,255,255,254,255,255,255,255
20,255,255,255,255,251,253,255,229,28,0,113,252,250,255,249,255,254,255,255,255,255,255,254,250,255,255,255,255
21,255,251,254,255,254,255,255,248,85,0,142,255,252,248,255,254,255,255,255,255,254,254,254,255,255,255,255,255
22,255,249,253,255,255,255,255,255,150,53,182,255,249,245,255,250,254,252,251,252,254,255,255,255,255,255,255,255
23,255,251,254,255,255,255,250,255,255,210,255,234,255,255,248,253,255,250,249,254,255,255,254,251,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
