,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,245,255,252,255,255,255,250,250,252,253,247,255,242,168,221,247,255,255,255,255,255,255,255,255,251,255,249,187
1,255,254,253,255,253,249,255,255,255,255,255,255,120,0,64,243,255,255,255,255,255,255,255,255,252,255,250,188
2,255,253,255,255,247,253,255,199,191,239,255,255,93,0,25,233,255,255,255,255,255,255,255,255,253,255,251,189
3,253,254,255,251,247,255,232,66,14,145,249,248,79,13,19,228,255,255,255,255,255,255,255,255,254,255,252,190
4,253,249,255,251,250,255,214,0,0,115,255,255,92,2,12,248,255,255,255,255,255,255,255,255,255,255,252,191
5,255,244,255,255,255,248,218,13,13,105,244,242,91,0,10,227,255,255,255,255,255,255,255,255,254,255,252,190
6,255,248,255,255,255,242,225,29,0,109,255,255,82,1,29,240,255,255,255,255,255,255,255,255,254,255,251,190
7,253,255,255,250,255,249,223,6,3,101,242,255,81,0,20,234,255,255,255,255,255,255,255,255,253,255,251,189
8,255,255,252,248,255,243,210,16,0,104,255,255,86,0,21,225,255,255,255,255,255,255,255,255,254,255,252,190
9,254,253,255,252,255,247,212,12,2,84,190,181,69,0,17,235,255,255,255,255,255,255,255,255,254,255,252,190
10,254,252,255,255,255,250,210,4,0,3,24,15,11,0,10,223,255,255,255,255,255,255,255,255,254,255,252,190
11,255,252,255,255,250,252,206,0,8,0,0,0,8,3,26,223,255,255,255,255,255,255,255,255,254,255,252,190
12,255,252,255,254,249,255,201,9,0,42,133,129,37,0,12,205,255,255,255,255,255,255,255,255,254,255,252,190
13,255,254,255,254,255,255,189,17,0,98,254,255,73,0,25,219,255,255,255,255,255,255,255,255,254,255,252,190
14,253,255,253,253,255,255,162,9,0,104,248,253,55,0,14,208,255,255,255,255,255,255,255,255,254,255,252,190
15,254,255,252,251,255,246,135,0,9,137,255,254,57,8,8,206,255,255,255,255,255,255,255,255,254,255,252,190
16,253,255,255,254,255,255,86,0,0,194,255,254,64,0,20,200,255,255,255,255,255,255,255,255,254,255,252,190
17,255,254,255,254,250,251,86,10,18,195,246,251,56,2,4,208,255,255,255,255,255,255,255,255,254,255,252,190
18,255,248,247,254,255,255,89,0,0,200,255,244,41,16,0,202,255,255,255,255,255,255,255,255,254,255,252,190
19,255,250,251,252,255,255,108,0,0,206,255,249,50,0,0,204,255,255,255,255,255,255,255,255,254,255,252,190
20,248,255,255,248,249,250,122,5,0,184,238,245,101,0,39,211,255,255,255,255,255,255,255,255,254,255,252,190
21,251,253,255,250,255,252,124,0,23,200,255,255,222,148,199,252,255,255,255,255,255,255,255,255,254,255,252,190
22,255,248,254,253,255,255,174,68,87,212,255,248,255,247,255,244,255,255,255,255,255,255,255,255,254,255,252,190
23,255,253,255,254,243,255,255,237,247,255,255,248,255,247,255,255,255,255,255,255,255,255,255,255,254,255,252,190
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
