,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,251,255,253,250,255,255,244,255,255,255,255,255,255,255,255,241,255,244,255,247,255,254,255,253,255,250,187
1,252,251,255,255,252,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,244,254,255,253,255,250,188
2,255,255,255,247,253,250,249,249,255,255,255,255,255,255,255,255,255,255,238,240,255,249,253,250,254,255,251,189
3,250,255,251,248,255,247,250,255,255,255,255,255,255,255,255,255,246,255,255,255,233,249,255,245,255,255,252,190
4,250,255,251,252,235,135,156,235,255,255,255,255,255,255,255,255,255,255,241,141,29,88,241,255,254,255,252,191
5,255,255,254,254,184,0,16,163,255,255,255,255,255,255,255,255,253,240,255,85,0,14,232,242,254,255,252,190
6,249,255,252,255,206,0,0,111,255,255,255,255,255,255,255,255,255,245,255,53,2,12,235,249,253,255,251,189
7,253,255,247,249,243,52,0,39,255,255,255,255,255,255,255,255,253,255,255,58,9,14,214,255,252,255,250,189
8,253,255,251,254,246,92,1,16,229,247,254,255,253,248,255,254,255,255,250,67,0,24,218,255,254,255,252,190
9,254,255,251,255,251,115,0,8,177,247,255,254,255,250,250,249,246,249,247,61,0,21,219,255,254,255,252,190
10,255,255,252,255,253,144,0,0,179,255,252,230,255,255,253,252,254,255,255,59,0,15,219,253,254,255,252,190
11,255,255,254,255,251,160,0,0,73,187,245,255,255,248,247,255,244,253,240,49,0,10,222,255,254,255,252,190
12,252,255,255,255,246,158,0,0,0,17,51,114,168,197,227,237,255,255,242,72,19,10,203,245,254,255,252,190
13,250,255,253,255,248,144,1,1,2,0,0,6,2,0,30,40,81,99,97,14,1,7,198,255,254,255,252,190
14,251,255,250,255,255,130,7,0,101,98,44,3,0,0,1,0,0,9,12,0,0,4,181,255,254,255,252,190
15,252,255,247,255,255,122,11,0,152,249,244,182,147,105,65,45,6,14,3,7,6,5,166,250,254,255,252,190
16,251,255,252,255,255,130,0,0,150,254,255,249,255,252,255,237,204,204,214,111,0,0,171,255,254,255,252,190
17,255,255,247,244,251,146,11,11,149,248,255,249,255,254,255,254,255,245,255,121,0,16,164,248,254,255,252,190
18,252,252,255,255,255,146,0,0,167,253,255,254,254,237,236,225,223,208,237,137,5,0,156,255,254,255,252,190
19,255,247,255,255,255,148,0,24,103,151,134,101,77,43,26,12,18,8,0,11,0,14,208,255,254,255,252,190
20,255,246,255,249,250,162,3,0,4,23,5,0,0,0,0,3,0,26,4,1,3,71,242,246,254,255,252,190
21,244,250,255,252,255,216,73,4,0,0,1,10,32,46,54,61,61,50,52,63,126,218,255,255,254,255,252,190
22,255,254,255,248,255,255,219,173,154,160,182,207,232,244,245,251,252,246,255,248,255,255,239,255,254,255,252,190
23,255,246,255,255,247,251,255,255,255,250,254,255,255,255,251,255,239,255,253,245,255,255,255,254,254,255,252,190
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
