,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,254,241,255,253,255,250,249,255,251,255,255,248,255,253,255,240,255,255,254,252,245,255,251,255,254,255,255,252
1,255,252,255,247,253,255,255,250,255,246,247,255,255,243,251,255,250,242,255,255,250,248,255,249,249,255,250,255
2,255,252,254,246,243,255,255,251,249,255,255,253,242,255,255,252,255,244,255,255,255,251,255,245,255,255,248,253
3,251,250,255,255,247,255,252,249,253,237,255,255,255,249,253,245,253,253,247,250,255,255,224,168,208,255,252,251
4,252,255,246,171,132,193,250,255,255,255,239,178,196,239,255,200,177,255,255,255,255,236,87,9,104,240,254,255
5,255,255,212,40,0,120,251,255,228,255,154,4,25,168,228,54,18,169,239,255,255,255,64,7,55,238,255,255
6,248,255,221,28,0,117,255,242,255,255,84,0,3,150,200,17,2,144,255,255,249,251,50,2,63,253,255,253
7,255,241,206,20,2,109,255,255,249,255,67,21,30,200,225,12,7,113,255,253,251,253,58,2,58,248,248,255
8,252,248,226,35,0,97,250,255,248,250,84,5,44,234,197,22,5,126,253,255,246,251,56,3,62,251,253,255
9,255,255,238,44,0,72,243,253,255,240,51,0,61,252,209,18,4,140,251,255,251,248,73,0,60,250,253,255
10,253,253,251,69,1,53,244,254,254,241,49,2,81,249,207,12,0,120,253,255,249,249,63,0,59,249,251,255
11,253,253,253,76,1,27,228,249,250,224,35,1,83,244,216,24,11,99,255,255,252,255,59,11,59,248,251,255
12,254,254,252,79,1,34,222,254,254,214,33,1,88,254,235,38,1,44,132,137,135,134,23,7,62,250,250,255
13,253,253,254,91,8,28,137,160,164,132,32,9,84,254,246,57,9,18,0,1,1,0,11,17,67,253,251,255
14,253,254,254,90,1,1,7,9,3,7,7,4,63,249,254,84,0,6,18,23,25,16,4,1,73,255,252,255
15,254,254,250,89,4,23,1,5,8,1,21,9,59,254,254,84,6,36,181,200,201,176,34,2,77,255,253,255
16,254,254,254,89,1,25,140,157,163,130,23,1,97,247,254,85,8,26,239,249,248,236,22,4,87,255,250,255
17,236,254,245,89,10,39,228,254,254,163,15,1,129,254,253,80,0,33,213,255,255,224,38,0,78,255,255,255
18,254,254,251,74,1,24,183,208,245,161,26,0,146,254,252,111,1,7,80,113,127,108,27,4,83,248,255,255
19,250,232,254,98,2,6,20,25,35,34,3,12,177,254,251,144,22,0,0,0,7,8,0,5,130,249,255,255
20,254,247,254,121,0,11,0,8,11,8,0,25,183,249,254,226,102,61,44,23,17,24,24,50,203,255,250,255
21,244,254,254,229,148,144,124,103,58,56,80,135,243,254,254,254,255,240,229,203,194,205,207,236,252,255,245,255
22,252,255,238,255,243,255,255,246,253,247,246,249,255,250,243,255,254,255,255,255,255,255,254,254,255,254,248,255
23,255,248,255,255,246,255,250,255,247,255,255,245,251,255,254,251,248,255,247,255,255,252,255,252,252,253,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
