,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,253,255,255,249,254,255,254,255,248,255,251,248,255,249,249,255,252,255,251,252,253,250,251,255,255,255,255
1,253,251,255,255,255,245,245,255,250,255,255,243,255,238,212,255,249,240,255,255,248,255,255,252,255,255,255,255
2,255,255,253,253,255,253,252,255,252,254,244,252,255,110,79,169,255,252,255,251,237,255,255,255,254,254,254,255
3,255,255,252,240,254,255,255,254,255,250,254,255,223,14,0,21,184,241,244,255,255,255,252,253,254,253,252,253
4,250,255,255,255,255,255,248,247,241,255,255,250,232,48,15,0,88,255,245,251,255,246,252,255,255,255,254,253
5,255,245,255,255,254,243,255,255,244,255,255,252,255,68,0,0,29,255,255,254,253,250,255,255,255,255,255,255
6,255,243,255,255,244,252,255,229,250,246,233,231,240,67,0,10,24,194,224,242,237,244,226,241,245,251,255,255
7,254,247,255,254,242,255,235,123,32,29,46,33,41,1,14,0,3,25,14,26,9,31,15,68,230,242,255,255
8,247,255,242,255,255,255,218,31,0,16,0,0,4,0,0,9,1,3,0,0,7,0,1,0,191,231,255,255
9,251,255,253,255,253,253,250,147,67,66,64,73,81,27,0,2,0,25,71,62,44,69,70,94,229,249,255,253
10,254,255,254,255,250,250,255,245,255,248,255,251,233,80,0,0,9,71,245,249,243,255,248,255,255,255,255,253
11,255,250,249,250,255,255,252,255,252,243,255,255,255,55,0,7,0,33,238,250,255,251,255,250,255,254,254,255
12,255,254,255,250,255,255,244,255,255,255,255,243,243,19,4,0,6,32,184,255,255,242,255,255,250,249,253,255
13,251,255,255,251,254,255,249,255,254,255,255,253,213,19,9,2,0,0,88,255,255,253,249,254,255,254,255,255
14,251,255,254,254,251,249,255,255,254,255,255,250,116,0,0,70,50,4,26,211,241,255,250,255,255,255,255,252
15,255,255,247,255,255,251,255,249,255,250,244,227,19,0,27,214,109,0,0,146,249,255,255,250,252,255,255,253
16,249,255,255,238,255,255,249,247,247,245,255,71,8,2,103,255,201,0,10,46,236,255,249,255,255,255,255,255
17,250,255,255,255,244,244,255,255,255,255,103,9,3,29,219,244,242,65,0,0,178,243,255,255,254,254,255,255
18,255,251,245,255,247,255,249,231,235,95,17,0,0,154,252,255,249,168,0,0,90,255,253,255,252,253,254,255
19,254,255,255,255,245,255,255,255,80,25,0,8,118,255,240,255,255,219,39,7,18,136,101,171,252,252,254,255
20,252,255,246,248,255,195,94,50,0,2,10,135,241,255,250,253,255,244,145,0,0,18,0,35,252,252,254,255
21,244,255,255,252,241,89,0,1,0,10,152,255,252,245,255,247,246,255,237,73,15,0,1,70,252,253,254,255
22,255,255,247,255,247,127,20,10,46,192,252,254,249,255,255,241,242,255,255,237,112,39,70,216,254,254,255,255
23,255,255,242,255,255,247,207,204,238,255,253,252,254,255,233,255,255,255,240,255,252,240,252,243,255,255,255,255
24,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,253,253,253,253,253,253,253,253,254,254,254,254
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
27,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
