,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,252,249,255,255,249,255,252,249,254,255,255,252,251,255,252,253,254,255,255,255,248,255,255,255,255
1,255,253,255,255,255,249,249,255,249,251,255,255,252,250,253,255,254,246,246,255,255,247,250,255,255,255,255,255
2,255,255,252,255,255,252,251,255,255,255,248,247,255,255,255,248,248,255,255,255,255,252,244,254,255,255,255,255
3,254,255,252,247,255,255,252,250,239,248,255,255,246,205,147,102,87,195,251,243,253,255,255,249,255,255,255,255
4,251,255,255,255,255,255,249,249,255,255,227,152,58,0,0,6,0,153,255,252,249,255,255,255,255,255,255,255
5,255,248,254,255,252,248,255,255,236,145,42,0,0,11,25,32,135,220,255,255,255,255,252,253,255,255,255,255
6,255,248,255,255,242,255,254,205,78,21,0,0,52,122,200,255,255,254,249,247,252,255,255,255,255,255,255,255
7,246,252,255,255,244,255,210,63,0,0,33,135,223,251,252,254,255,250,255,255,253,252,255,255,255,255,255,255
8,251,255,255,249,255,255,82,6,0,63,202,252,255,250,255,253,255,252,250,255,255,255,252,250,253,255,255,252
9,250,255,255,254,255,197,38,0,45,204,255,245,255,255,252,255,255,255,255,250,246,249,255,255,253,255,255,252
10,254,255,255,255,255,140,0,0,117,255,255,248,255,244,246,255,249,255,255,255,253,255,255,255,254,255,253,246
11,255,254,254,255,255,141,0,11,151,255,230,255,255,244,255,255,255,255,253,250,254,255,253,246,255,255,249,237
12,255,251,255,255,249,186,0,7,91,248,253,255,244,250,255,232,255,250,248,255,255,255,255,255,255,255,249,237
13,255,252,255,255,246,229,48,0,10,208,255,255,254,255,255,255,252,255,255,255,255,252,247,246,254,255,253,246
14,251,255,255,255,250,249,128,0,0,116,242,255,255,252,236,255,255,255,240,220,229,255,255,251,253,255,255,252
15,249,255,249,255,255,253,197,14,7,20,177,209,202,214,185,155,113,92,44,21,85,196,255,252,253,255,255,252
16,255,252,248,255,252,255,233,108,0,6,11,5,4,9,4,0,0,0,0,34,146,249,255,240,255,255,254,253
17,254,253,255,255,250,255,255,203,50,11,0,0,9,0,0,7,8,35,104,200,255,252,248,255,255,255,254,254
18,255,255,255,255,247,244,255,255,230,152,83,65,68,75,104,143,179,235,255,246,247,255,255,240,255,255,254,254
19,255,255,251,253,253,246,250,255,255,255,255,254,253,252,251,251,248,255,255,243,250,255,255,255,255,255,255,254
20,251,255,254,249,255,255,252,254,236,255,255,251,248,255,255,255,255,253,252,255,255,237,231,254,255,255,255,254
21,248,255,255,250,254,255,254,255,255,255,255,255,255,253,247,242,249,255,255,242,250,255,255,255,255,255,255,255
22,255,253,255,253,247,255,249,255,255,249,247,255,255,255,255,255,255,255,245,249,255,255,243,242,255,255,255,255
23,255,243,255,255,254,255,250,255,252,255,255,255,251,251,254,255,252,255,253,254,255,255,251,255,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
