,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,250,255,255,255,254,253,255,249,255,255,255,255
1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,246,243,255,255,244,253,255,255,255,255,255
2,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,250,255,255,255,255,255,255,250,255,255,255,255
3,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,252,255,255,238,242,255,255,254,255,255,255,255
4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,254,255,255,243,255,255,255,255,255
5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,249,255,241,187,207,255,248,253,255,255,255,255
6,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,173,24,60,216,255,254,255,255,255,255
7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,248,140,0,26,205,255,255,255,255,255,255
8,255,255,255,255,255,255,255,255,248,255,255,254,255,255,255,255,251,247,137,0,5,207,255,249,255,255,255,255
9,255,255,255,255,255,255,255,255,255,255,253,255,255,246,246,247,255,255,138,5,14,203,253,250,255,255,255,255
10,255,255,255,255,255,255,255,255,255,246,252,255,255,255,255,255,252,243,126,0,19,204,250,255,255,255,255,255
11,255,255,255,255,255,255,255,255,255,246,255,255,247,251,249,245,255,255,137,4,22,206,249,255,255,255,255,255
12,255,255,255,255,255,255,255,255,255,251,255,247,245,255,255,255,250,246,129,0,8,204,255,255,255,255,255,255
13,255,255,255,255,255,255,255,255,253,253,255,247,255,255,242,246,255,248,146,19,15,200,254,249,255,255,255,255
14,255,255,255,255,255,255,255,255,255,254,255,246,254,210,111,102,85,82,46,0,10,198,255,255,255,255,255,255
15,255,255,255,255,255,255,255,255,255,245,253,255,255,166,10,0,0,1,11,9,30,198,253,248,255,255,255,255
16,255,255,255,255,255,255,255,255,250,255,255,255,255,183,76,20,23,36,16,1,20,208,255,250,255,255,255,255
17,255,255,255,255,255,255,255,255,250,255,247,250,255,255,224,216,220,211,111,20,11,199,253,247,255,255,255,255
18,255,255,255,255,255,255,255,255,255,255,251,245,255,255,253,255,255,255,120,4,6,208,255,255,255,255,255,255
19,255,255,255,255,255,255,255,255,251,255,255,255,255,252,244,251,239,255,98,0,25,223,253,254,255,255,255,255
20,255,255,255,255,255,255,255,255,250,254,254,254,255,255,255,255,255,255,82,0,40,227,246,255,255,255,255,255
21,255,255,255,255,255,255,255,255,255,255,252,252,252,253,253,251,251,252,57,1,51,235,249,255,255,255,255,255
22,255,255,255,255,255,255,255,255,255,253,255,255,255,255,255,253,255,255,56,13,63,248,254,253,255,255,255,255
23,255,255,255,255,255,255,255,255,255,253,255,255,248,251,255,254,251,252,47,4,54,250,255,251,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,251,235,41,0,80,255,251,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,230,83,29,128,251,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,249,248,218,189,245,255,253,251,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,252,255,255,255,255,242,252,255,255,255,255,255
