,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
2,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
3,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
6,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
8,255,255,255,254,255,255,255,247,255,255,255,255,255,255,255,255,249,255,255,255,252,254,255,255,255,255,255,255
9,253,254,255,255,254,251,255,255,252,252,252,252,252,252,252,252,255,255,251,253,255,253,251,251,255,255,255,255
10,255,254,249,255,255,253,250,254,255,255,255,255,255,255,255,255,251,246,251,255,255,255,255,255,255,255,255,255
11,255,253,252,255,255,255,255,255,252,252,252,252,252,252,252,252,255,255,253,247,241,241,250,255,255,255,255,255
12,250,255,255,252,245,246,249,251,255,255,255,255,255,255,255,255,246,254,255,255,255,255,255,251,255,255,255,255
13,255,255,253,254,255,255,255,255,255,255,255,255,255,255,255,255,249,251,254,255,255,255,255,254,255,255,255,255
14,255,249,250,255,245,214,199,206,204,204,204,204,204,204,204,204,209,184,157,136,118,132,195,255,255,255,255,255
15,252,255,255,241,141,27,0,26,17,17,17,17,17,17,17,17,16,6,8,8,0,9,122,249,255,255,255,255
16,255,244,255,231,86,0,0,3,2,2,2,2,2,2,2,2,0,7,13,3,4,57,164,255,255,255,255,255
17,255,241,255,253,180,132,136,140,129,129,129,129,129,129,129,129,133,136,151,176,202,224,245,255,255,255,255,255
18,255,248,254,255,252,243,246,247,255,255,255,255,255,255,255,255,255,251,245,250,255,255,255,255,255,255,255,255
19,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,255,255,255,255,250,252,255,255,255,255,255
20,247,255,255,251,255,252,249,255,255,255,255,255,255,255,255,255,251,251,253,255,255,255,255,252,255,255,255,255
21,254,255,253,251,255,255,253,251,253,253,253,253,253,253,253,253,255,255,252,245,246,251,253,251,255,255,255,255
22,255,254,252,255,255,255,255,250,255,255,255,255,255,255,255,255,237,251,255,255,255,255,255,255,255,255,255,255
23,255,249,254,255,253,252,255,255,255,255,255,255,255,255,255,255,255,255,255,251,251,255,255,250,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
