,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,249,253,255,255,241,255,255,255,255,254,254,254,254,254,254,245,252,249,255,255,255,249,255,255,255,255
1,248,250,255,255,253,242,255,243,251,251,252,253,255,255,255,255,255,255,255,247,252,246,255,255,255,255,255,255
2,255,254,255,255,251,244,255,255,255,255,255,255,255,254,253,253,255,245,254,255,255,246,252,250,255,255,255,255
3,255,255,252,251,254,255,245,201,183,183,181,179,176,173,171,169,173,163,160,188,214,255,255,249,255,255,255,255
4,251,255,251,255,255,250,98,41,0,0,0,1,0,0,0,0,0,13,0,13,58,214,255,234,255,255,255,255
5,249,255,253,255,255,238,30,0,1,2,3,3,2,0,0,0,0,5,0,0,6,147,252,255,255,255,255,255
6,255,255,254,255,250,252,127,107,145,145,145,143,141,137,133,131,135,125,123,17,10,87,236,255,255,255,255,255
7,250,255,253,255,252,255,249,252,252,254,255,255,255,255,254,253,249,255,245,14,0,81,255,249,255,255,255,255
8,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,252,255,236,32,0,60,254,254,255,255,255,255
9,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,255,239,39,0,51,246,255,255,255,255,255
10,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,245,50,0,36,234,255,255,255,255,255
11,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,250,61,0,21,221,255,255,255,255,255
12,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,66,0,12,212,255,255,255,255,255
13,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,67,0,9,209,255,255,255,255,255
14,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,251,63,0,10,209,253,255,255,255,255
15,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,249,61,0,12,210,251,255,255,255,255
16,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,255,57,0,0,197,255,255,255,255,255
17,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,246,255,53,16,26,218,248,255,255,255,255
18,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,247,255,40,0,1,215,251,255,255,255,255
19,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,251,255,80,4,30,220,255,255,255,255,255
20,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,249,255,188,140,167,254,255,255,255,255,255
21,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,250,255,255,243,255,255,247,255,255,255,255
22,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,255,255,255,255,255,254,252,255,255,255,255
23,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,245,254,252,255,255,255,255,255,255
24,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
27,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
