,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,253,255,255,255,255,254,254,254,251,254,246,254,254,252,254,255,246,255,255,250,253,255,255,255,255,255,254,254
1,255,254,254,253,255,255,255,255,255,254,255,254,253,239,254,252,252,252,251,252,255,255,252,248,255,255,254,254
2,255,255,254,251,251,251,251,250,249,254,251,255,255,248,255,255,255,255,255,255,255,253,255,253,255,255,255,255
3,255,255,255,255,255,255,255,254,255,253,248,255,255,250,248,246,248,244,253,255,248,251,255,255,255,255,255,255
4,255,255,255,255,255,252,249,247,255,255,255,255,255,255,255,255,254,254,254,254,252,252,252,244,255,255,255,255
5,254,255,255,255,254,255,255,255,252,252,254,249,249,254,246,242,251,254,247,251,254,254,252,254,255,255,255,255
6,245,252,254,254,253,248,248,250,254,252,254,248,254,254,194,145,127,138,135,152,180,177,197,254,255,255,255,255
7,254,254,254,241,205,167,139,126,128,116,128,141,182,187,82,1,4,19,10,15,23,1,50,173,255,255,255,255
8,254,251,254,138,26,20,14,10,13,8,5,10,19,46,36,8,9,12,11,15,12,22,14,115,255,255,255,255
9,255,253,228,91,0,7,16,9,13,16,24,13,7,47,130,158,148,143,135,132,94,24,3,99,255,255,255,255
10,247,255,255,173,87,107,138,160,164,165,160,82,13,23,182,248,254,253,247,247,186,30,12,104,255,255,255,255
11,255,243,255,251,239,251,252,254,254,254,251,118,12,2,193,254,254,254,254,254,207,11,11,97,255,255,255,255
12,255,246,249,255,255,255,253,252,249,254,253,103,8,14,204,254,246,251,248,251,202,5,16,92,255,255,255,255
13,247,255,255,255,243,243,247,251,254,254,254,97,12,30,191,251,254,255,255,251,203,21,25,95,255,255,255,255
14,247,254,248,247,255,255,255,245,254,250,254,95,7,22,155,250,252,252,250,247,194,23,10,86,255,255,254,254
15,255,255,250,255,255,248,251,255,255,244,254,102,4,9,124,252,255,253,255,255,199,30,2,85,255,255,255,255
16,255,255,255,255,255,255,255,255,245,255,250,87,20,8,156,253,249,255,247,255,199,30,23,38,221,255,255,246
17,255,255,255,255,255,255,255,255,255,250,254,78,13,12,190,250,255,255,254,255,219,32,11,31,209,250,255,246
18,255,255,255,255,255,255,255,255,255,241,252,99,0,17,200,249,255,245,255,255,240,52,3,28,209,247,255,250
19,255,255,255,255,255,255,255,255,254,255,255,193,79,125,226,255,255,247,255,250,241,93,19,43,227,254,255,254
20,255,255,255,255,255,255,255,255,254,255,249,255,225,254,255,255,254,253,255,255,255,201,143,169,247,255,255,252
21,255,255,255,255,255,255,255,255,255,251,244,249,255,255,252,251,250,255,249,255,255,255,250,255,254,254,252,250
22,255,255,255,255,255,255,255,255,255,255,255,247,254,245,252,255,255,255,250,247,238,246,251,245,253,251,253,254
23,255,255,255,255,255,255,255,255,244,255,255,255,243,255,255,253,251,250,255,255,255,251,255,251,254,253,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
