,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,250,250,255,255,255,255,255,253,255,245,251,255,255,253,255,255,255,255,255,254,252,254,255,255,255,255
1,247,252,253,255,254,252,244,248,242,255,245,227,255,252,238,255,248,253,254,250,250,255,255,255,255,255,255,255
2,252,255,252,255,245,255,255,255,255,253,121,45,164,254,255,255,251,255,255,252,250,255,255,253,255,255,255,255
3,255,255,250,255,237,255,255,254,242,234,43,0,106,255,255,240,255,255,255,255,255,255,253,249,255,255,255,255
4,253,255,251,255,246,255,254,242,254,234,32,5,80,247,253,255,255,247,243,253,255,254,253,255,255,255,255,255
5,255,255,254,252,255,246,250,255,250,220,13,14,87,255,255,245,255,255,250,253,253,250,254,255,255,255,255,255
6,255,253,255,247,238,147,147,213,255,241,28,1,87,240,237,216,235,254,255,255,250,252,255,255,255,255,255,255
7,251,246,255,244,199,14,0,57,88,130,11,1,40,47,5,18,177,231,255,255,247,255,255,248,255,255,255,255
8,252,255,255,255,222,40,0,0,0,2,0,7,0,6,1,32,203,250,255,244,255,251,248,255,255,255,255,255
9,255,249,251,254,250,203,99,39,11,13,4,20,56,49,145,237,249,255,247,251,255,249,255,255,255,255,255,255
10,255,253,255,255,250,255,247,214,143,55,51,126,232,253,255,243,255,255,243,255,255,248,255,253,255,255,255,255
11,255,255,249,253,255,247,252,140,0,0,2,17,109,207,134,155,213,250,255,255,253,251,255,252,255,255,255,255
12,248,255,255,242,255,247,170,0,11,8,40,0,0,138,111,2,90,197,255,255,252,255,255,255,255,255,255,255
13,255,250,255,255,243,249,82,1,12,125,205,157,111,192,241,18,0,110,253,251,253,255,254,255,255,255,255,255
14,255,232,250,255,255,222,2,0,32,255,255,227,255,254,248,91,0,27,228,252,255,254,255,255,255,255,255,255
15,255,254,255,246,255,174,7,7,99,242,253,255,240,253,253,112,18,0,209,255,255,251,255,249,255,255,255,255
16,253,255,255,255,249,175,18,0,87,255,254,252,253,252,255,81,0,14,205,245,255,255,255,247,255,255,255,255
17,255,252,251,255,248,182,0,4,66,242,249,255,255,249,229,10,0,52,226,255,255,254,253,255,255,255,255,255
18,255,251,248,255,255,223,16,5,0,199,255,226,255,253,96,7,0,115,248,255,252,251,249,255,255,255,255,255
19,255,255,251,252,255,255,89,0,3,69,227,255,248,157,0,12,32,189,255,254,241,255,255,254,255,255,255,255
20,255,255,255,250,252,255,179,24,4,11,64,127,93,6,0,2,133,246,255,253,250,255,255,255,255,255,255,255
21,255,251,252,255,253,242,253,141,0,0,0,5,4,0,25,85,230,255,246,255,255,255,246,255,255,255,255,255
22,249,253,250,255,255,246,255,241,161,20,6,5,0,32,134,239,255,252,246,255,255,255,245,255,255,255,255,255
23,249,255,251,255,252,255,248,255,255,229,155,133,171,216,253,255,255,245,255,254,245,255,255,254,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
