,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,251,255,251,253,255,247,255,255,255,252,255,255,251,255,255,252,254,255,252,190
1,255,255,255,255,255,255,255,255,255,255,252,255,255,255,253,248,255,250,255,254,251,255,255,255,254,255,252,190
2,255,255,255,255,255,255,255,255,255,255,253,254,253,255,255,255,255,254,250,253,255,255,255,255,254,255,252,190
3,255,255,255,255,255,255,255,255,255,255,255,252,240,253,247,255,255,255,251,255,255,253,255,255,254,255,252,190
4,255,255,255,255,255,255,255,255,246,255,255,255,255,255,222,230,243,255,251,255,255,250,255,255,254,255,252,190
5,255,255,255,255,255,255,255,255,255,255,247,252,242,190,49,28,209,255,249,253,255,248,255,255,254,255,252,190
6,255,255,255,255,255,255,255,255,247,255,242,255,255,186,6,0,180,254,254,255,255,247,255,255,254,255,252,190
7,255,255,255,255,255,255,255,255,247,255,249,255,252,168,0,5,167,255,255,255,255,246,255,253,254,255,252,190
8,255,255,255,255,255,255,255,255,254,255,255,255,253,169,2,0,166,255,253,253,255,255,255,255,254,255,252,190
9,255,255,255,255,255,255,255,255,254,255,255,255,252,168,1,0,165,255,253,253,254,255,255,255,254,255,252,190
10,255,255,255,255,255,255,255,255,255,255,255,255,252,166,0,0,163,255,253,253,254,255,255,255,254,255,252,190
11,255,255,255,255,255,255,255,255,255,254,255,255,251,163,0,0,161,255,254,254,254,255,254,255,254,255,252,190
12,255,255,255,255,255,255,255,255,255,254,255,255,250,160,0,0,158,255,254,254,254,255,254,255,254,255,252,190
13,255,255,255,255,255,255,255,255,255,253,254,255,250,158,0,1,156,255,254,255,254,254,253,255,254,255,252,190
14,255,255,255,255,255,255,255,255,255,253,254,255,249,156,0,2,154,255,255,255,254,254,253,255,254,255,252,190
15,255,255,255,255,255,255,255,255,255,253,254,255,249,154,0,3,154,254,255,255,254,254,253,255,254,255,252,190
16,255,255,255,255,255,255,255,255,255,253,254,251,255,150,0,4,160,255,255,249,251,246,255,252,254,255,252,190
17,255,255,255,255,255,255,255,255,255,255,255,253,255,158,6,2,158,246,255,254,255,250,255,248,254,255,252,190
18,255,255,255,255,255,255,255,255,254,255,255,252,251,156,11,0,181,245,251,255,255,251,255,250,254,255,252,190
19,255,255,255,255,255,255,255,255,245,255,255,255,255,218,127,113,225,255,251,254,255,249,255,255,254,255,252,190
20,255,255,255,255,255,255,255,255,255,255,255,247,255,255,242,252,253,255,253,254,255,251,255,255,254,255,252,190
21,255,255,255,255,255,255,255,255,255,255,255,247,250,252,252,255,255,253,253,255,255,255,255,254,254,255,252,190
22,255,255,255,255,255,255,255,255,247,251,255,255,255,255,255,252,254,248,255,255,255,255,255,250,254,255,252,190
23,255,255,255,255,255,255,255,255,255,255,252,255,254,252,255,252,255,250,255,254,251,255,255,251,254,255,252,190
24,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,255,248,189
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,195
26,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,250,253,249,192
27,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,184,189,188,135
