,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,253,255,252,246,255,255,255,255,255,255,255,250,249,253,255,255,255,241,253,255,249,248,255,246,255,255,255,255
1,253,255,255,255,255,255,253,255,251,253,255,255,255,255,252,250,251,254,255,245,255,255,255,255,255,255,255,255
2,249,252,251,248,251,254,254,253,255,255,250,252,252,251,255,255,254,254,245,247,255,254,237,254,255,255,255,255
3,254,254,254,254,254,254,254,254,254,250,250,255,254,249,246,251,254,243,254,255,255,254,255,254,255,255,255,255
4,254,241,245,254,252,244,245,243,224,212,203,202,198,190,187,190,168,166,183,178,152,176,232,255,255,255,255,255
5,254,169,106,100,93,77,62,43,44,37,28,21,16,12,6,2,16,22,20,22,16,13,103,242,255,255,255,255
6,242,93,1,1,13,21,23,14,8,16,21,22,28,32,24,10,17,7,2,15,8,0,90,246,255,255,255,255
7,254,113,26,27,22,15,32,46,64,53,27,7,24,72,111,124,120,115,126,112,82,117,203,254,255,255,255,255
8,254,236,210,192,190,202,219,230,239,183,9,27,18,162,254,251,254,252,255,255,254,251,255,255,255,255,255,255
9,254,255,254,254,254,254,253,251,254,164,22,22,4,150,241,254,253,249,251,253,253,255,255,243,255,255,255,255
10,251,251,252,255,255,254,254,254,254,196,26,15,6,85,249,248,254,254,255,247,249,255,255,250,255,255,255,255
11,255,253,249,247,248,251,255,254,248,219,30,18,27,20,211,248,250,254,255,253,255,255,255,255,255,255,255,255
12,255,255,255,255,255,255,255,254,254,212,37,27,21,9,89,239,245,252,251,255,255,255,247,255,255,255,255,255
13,248,251,254,255,254,253,253,254,255,229,23,21,1,20,7,132,254,254,255,249,255,255,246,255,255,255,255,255
14,254,254,254,252,250,253,255,255,237,182,9,14,52,57,3,25,175,235,255,248,254,254,251,255,255,255,255,255
15,252,255,255,255,255,253,252,253,244,56,17,19,148,113,5,18,20,157,249,254,254,253,248,255,255,255,255,255
16,255,255,253,254,252,244,254,252,137,19,3,65,227,235,88,18,17,20,85,223,181,75,164,254,254,255,255,255
17,254,240,254,254,251,254,254,172,21,19,21,178,250,254,242,89,8,31,36,16,33,19,55,234,254,255,255,255
18,254,249,254,252,254,193,94,17,28,11,96,252,252,244,254,233,137,35,4,5,26,7,32,227,254,255,255,255
19,254,254,250,244,248,91,20,20,0,72,234,243,254,254,237,254,251,197,98,47,25,11,110,254,254,255,255,255
20,246,254,254,253,184,11,16,14,48,202,254,244,254,254,254,247,254,254,249,241,161,166,254,232,254,255,255,255
21,249,254,250,254,204,29,28,59,217,254,239,254,250,237,252,254,250,251,240,251,254,254,248,254,255,255,255,255
22,255,255,240,253,255,180,170,247,253,249,249,255,247,255,253,254,253,254,254,254,241,252,246,253,255,255,255,255
23,255,244,255,252,246,255,254,255,250,255,255,241,255,250,248,253,254,252,249,254,254,254,254,254,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,254,254,254,254,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
