,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,249,250,255,255,253,241,255,253,252,255,255,254,255,255,254,255,255,250,252,255,255,255,255,255,255,255,255
1,249,255,255,247,246,255,255,255,255,254,255,255,252,255,255,250,252,251,255,255,245,246,253,247,255,255,255,255
2,249,255,255,251,253,255,255,245,255,249,250,254,252,255,255,254,255,252,255,255,250,255,255,255,255,255,255,255
3,255,253,252,255,255,251,255,249,255,252,255,255,254,255,255,255,245,247,253,255,255,253,251,255,255,255,255,255
4,254,255,255,255,249,241,255,251,214,207,211,214,201,195,198,198,233,253,248,249,255,245,235,255,255,255,255,255
5,254,255,248,254,253,255,250,177,17,8,12,18,9,4,9,11,0,50,94,166,255,255,250,249,255,255,255,255
6,255,255,241,255,255,255,245,146,13,0,0,1,0,1,6,6,4,0,0,25,117,223,255,254,255,255,255,255
7,253,255,248,255,253,245,255,214,80,50,37,42,44,44,45,41,25,13,6,0,21,161,255,250,255,255,255,255
8,255,255,255,255,255,255,254,253,253,238,235,235,249,251,235,247,240,190,67,0,4,82,231,255,255,255,255,255
9,255,255,255,255,255,255,254,253,254,255,255,254,250,252,245,255,240,255,216,20,0,34,237,237,255,255,255,255
10,255,255,255,255,255,255,254,253,255,248,249,244,255,255,255,250,255,255,228,33,9,4,237,255,255,255,255,255
11,255,255,255,255,255,255,254,253,252,226,212,176,133,104,78,77,60,105,145,37,0,6,218,244,255,255,255,255
12,255,255,255,255,255,255,254,253,148,52,0,0,0,10,4,7,1,0,22,11,8,20,211,255,255,255,255,255
13,255,255,255,255,255,255,254,253,56,0,0,8,3,0,0,10,50,137,170,29,0,42,248,248,255,255,255,255
14,255,255,255,255,255,255,254,253,127,51,44,78,106,140,172,197,242,252,187,4,0,51,253,255,255,255,255,255
15,255,255,255,255,255,255,254,253,255,218,242,255,248,246,253,255,252,255,158,1,1,86,255,249,255,255,255,255
16,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,251,255,123,0,7,129,252,255,255,255,255,255
17,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,249,86,6,0,171,255,247,255,255,255,255
18,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,246,55,0,30,226,255,251,255,255,255,255
19,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,250,242,64,0,125,245,251,249,255,255,255,255
20,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,252,253,149,95,219,255,245,255,255,255,255,255
21,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,242,239,255,255,254,255,255,255,255,255
22,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,249,250,255,255,248,251,245,249,255,255,255,255
23,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,243,255,255,248,255,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
