,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,249,255,246,251,255,255,249,255,255,255,255,255,254,253,255,255,254,255,255,255,255,239,255,255,254,255,252,190
1,255,251,255,248,253,242,255,247,253,252,252,253,255,255,254,252,239,255,255,237,229,255,253,255,254,255,252,190
2,249,255,255,255,255,255,251,255,255,254,250,253,255,255,255,248,255,249,255,255,255,255,234,255,254,255,252,190
3,255,252,243,255,234,218,162,144,113,118,132,159,193,222,239,246,237,243,231,226,248,242,255,245,254,255,252,190
4,243,252,255,185,73,22,13,0,0,0,0,4,13,24,34,40,32,37,25,30,73,103,207,254,254,255,252,190
5,255,254,192,0,18,0,0,0,3,4,1,0,0,0,0,5,14,0,0,5,0,1,63,226,254,255,252,190
6,255,255,192,0,17,15,74,173,189,180,159,127,92,63,47,41,47,72,86,79,35,0,0,128,254,255,252,190
7,255,235,255,170,0,0,122,253,252,254,255,254,251,249,249,251,248,255,246,255,213,24,0,80,254,255,252,190
8,255,255,255,215,16,0,105,251,255,255,255,255,255,255,255,255,255,253,249,255,239,41,2,49,247,253,253,186
9,255,255,255,212,15,1,104,252,255,255,255,255,255,255,255,255,251,255,251,255,247,61,0,23,233,254,255,188
10,255,255,252,207,13,5,100,255,255,255,255,255,255,255,255,255,248,255,251,253,254,92,0,6,202,251,255,187
11,254,255,252,208,9,5,90,255,255,255,255,255,255,255,255,255,253,255,248,251,255,123,0,6,164,247,255,184
12,255,255,255,216,11,1,71,255,255,255,255,255,255,255,255,255,255,255,249,255,255,153,5,3,127,247,255,183
13,255,255,255,232,24,0,46,243,255,255,255,255,255,255,255,255,254,253,254,255,255,191,21,0,85,242,255,184
14,255,250,255,250,44,4,22,220,255,255,255,255,255,255,255,255,255,253,255,255,253,237,58,0,33,222,255,181
15,255,246,255,255,60,10,7,202,255,255,255,255,255,255,255,255,255,255,255,250,245,255,94,3,0,200,247,176
16,255,255,242,255,79,0,10,212,253,254,255,255,255,255,255,255,255,255,251,255,242,252,193,0,0,89,255,183
17,244,244,255,255,52,2,18,192,255,255,255,254,253,254,255,255,255,255,255,255,251,255,220,47,7,34,224,196
18,255,255,255,244,61,5,1,237,248,250,253,255,255,253,251,250,254,253,253,255,249,255,242,119,0,4,196,194
19,241,250,243,248,79,9,7,221,255,253,248,241,236,232,230,230,230,227,230,239,227,237,238,168,0,0,175,187
20,255,255,255,255,52,0,18,81,85,72,51,31,19,16,20,23,24,19,22,28,20,27,37,9,0,0,155,194
21,247,249,246,255,108,13,2,3,6,4,2,0,0,0,0,0,0,0,0,0,0,0,6,4,0,44,199,199
22,251,255,255,255,218,93,6,10,11,23,40,56,65,65,60,56,58,55,56,54,57,59,57,66,94,167,255,189
23,255,255,255,237,255,253,220,221,230,234,240,246,250,252,252,252,251,249,249,246,253,254,245,255,255,255,255,179
24,253,253,253,253,253,253,253,253,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,255,248,189
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,195
26,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,250,253,249,192
27,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,184,189,188,135
