,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,245,255,255,253,250,255,241,253,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
1,255,247,246,240,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
2,255,252,255,255,252,249,242,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
3,255,250,254,255,255,255,255,252,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
4,251,253,255,251,241,250,255,251,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
5,253,253,255,255,252,253,255,244,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
6,255,244,238,255,254,245,255,252,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
7,250,255,255,248,143,89,180,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
8,255,250,255,236,42,1,70,247,255,255,255,255,255,255,255,255,251,254,255,255,255,255,255,255,255,255,255,255
9,255,253,255,244,66,2,51,226,255,255,255,255,255,255,255,255,253,254,254,253,253,254,255,255,255,255,255,255
10,254,255,255,254,105,4,25,196,255,255,255,255,255,255,255,255,255,254,252,251,253,255,255,255,255,255,255,255
11,252,255,255,255,144,6,4,170,255,255,255,255,255,255,255,255,255,254,253,253,255,255,255,254,255,255,255,255
12,252,255,251,255,173,9,0,153,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,255,255,255,255
13,254,255,249,255,190,11,0,142,255,255,255,255,255,255,255,255,253,255,255,255,255,254,253,254,255,255,255,255
14,255,255,250,255,199,13,7,134,255,255,255,255,255,255,255,255,253,255,255,253,248,247,252,255,255,255,255,255
15,255,254,252,255,202,13,11,128,255,255,255,255,255,255,255,255,253,255,255,249,241,241,251,255,255,255,255,255
16,253,251,253,255,205,7,23,121,249,245,245,252,255,255,248,238,224,210,204,142,53,80,243,255,255,255,255,255
17,255,255,255,254,201,9,0,50,67,67,71,80,87,86,77,69,41,37,40,11,0,42,219,255,255,255,255,255
18,244,249,248,250,215,50,0,4,0,0,0,1,3,3,1,0,8,0,0,0,29,112,241,255,255,255,255,255
19,255,255,254,249,234,125,74,58,60,54,43,33,28,29,36,41,67,82,100,147,200,238,255,242,255,255,255,255
20,255,255,251,255,255,252,250,252,252,246,235,223,217,219,227,233,255,255,251,248,249,253,255,255,255,255,255,255
21,255,254,247,243,253,249,249,253,255,255,254,252,251,251,254,255,240,255,251,255,255,255,246,250,255,255,255,255
22,251,252,255,255,255,255,252,255,251,252,254,255,255,255,255,255,255,255,244,251,249,255,251,255,255,255,255,255
23,255,250,253,254,251,254,250,255,255,255,253,253,253,253,251,249,250,255,255,255,249,255,244,255,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
