,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
2,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
3,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
6,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
8,255,252,255,254,252,242,246,255,249,196,134,129,140,163,227,255,250,251,255,255,255,255,255,245,255,255,255,255
9,252,255,252,255,255,255,255,197,70,19,7,0,0,0,43,131,255,255,252,255,235,246,255,255,255,255,255,255
10,252,255,249,255,255,255,211,73,11,0,12,0,17,12,0,41,246,241,253,255,255,255,229,255,255,255,255,255
11,254,255,252,248,252,244,124,0,0,48,137,61,0,4,18,4,79,191,252,245,251,255,246,255,255,255,255,255
12,252,255,255,246,255,229,48,0,29,212,149,0,13,5,0,25,13,8,48,198,255,233,255,245,255,255,255,255
13,254,251,255,249,255,216,6,7,55,255,246,161,115,65,44,4,0,5,0,20,174,255,243,255,255,255,255,255
14,255,254,255,255,255,212,11,0,77,250,239,251,255,255,255,219,164,42,8,0,36,240,255,242,255,255,255,255
15,255,255,253,255,254,223,43,0,43,236,253,255,237,241,252,249,242,230,42,11,0,151,245,255,255,255,255,255
16,255,250,253,255,254,245,73,5,9,174,255,255,254,252,255,253,255,255,160,3,6,102,255,253,255,255,255,255
17,255,255,255,250,255,255,147,0,4,90,248,255,232,255,255,253,253,253,126,0,0,161,242,255,255,255,255,255
18,255,255,255,245,255,255,230,38,0,20,117,241,255,246,244,255,243,178,26,0,33,188,255,255,255,255,255,255
19,255,252,255,255,255,241,255,156,4,12,25,137,241,255,255,211,142,27,3,0,111,255,255,244,255,255,255,255
20,255,252,254,255,255,243,251,247,96,0,2,9,20,82,81,44,0,0,0,92,251,244,246,255,255,255,255,255
21,255,255,255,255,255,255,235,255,255,108,7,0,4,9,3,0,21,0,149,254,250,254,251,255,255,255,255,255
22,251,255,255,250,255,255,240,252,247,255,169,96,48,3,32,51,92,232,244,247,255,255,254,248,255,255,255,255
23,252,255,255,253,254,255,255,252,250,244,255,254,230,233,229,242,255,250,246,255,249,242,255,255,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
