,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,255,255,252,255,255,253,246,252,255,255,255,255,255,255,255,255,254,254,254,254
1,255,255,255,255,255,255,255,255,253,255,255,252,252,255,255,255,255,255,255,255,255,255,255,255,254,254,254,254
2,255,255,255,255,255,255,255,255,255,255,255,255,245,247,253,251,255,255,255,255,255,255,255,255,255,255,255,255
3,255,255,255,255,255,255,255,255,255,243,251,255,255,253,255,255,255,255,255,255,255,255,255,255,255,255,255,255
4,255,255,255,255,255,255,255,255,255,253,252,255,255,252,249,247,255,255,255,255,255,255,255,255,255,255,255,255
5,255,255,255,255,255,255,255,255,252,255,255,243,253,255,255,253,255,255,255,255,255,255,255,255,255,255,255,255
6,255,255,255,255,255,255,255,255,239,255,251,252,255,252,238,255,255,255,255,255,255,255,255,255,255,255,255,255
7,255,255,255,255,255,255,255,255,255,255,244,254,250,168,126,183,255,255,255,255,255,255,255,255,255,255,255,255
8,255,255,250,255,255,254,255,251,254,254,239,254,223,37,9,80,246,254,255,255,255,255,255,255,255,242,255,255
9,255,255,255,255,254,253,255,255,254,254,254,254,210,34,14,73,252,254,253,249,248,252,255,255,251,246,255,255
10,251,251,255,255,249,250,253,248,247,254,254,251,207,27,8,65,254,254,254,253,254,254,254,255,255,255,252,254
11,253,248,255,255,254,255,255,254,254,242,254,254,225,36,10,69,252,254,254,254,254,254,253,245,245,255,246,255
12,255,252,255,250,255,255,232,233,254,239,242,238,201,45,9,47,190,192,192,190,190,188,180,170,139,165,251,255
13,255,255,255,251,255,204,102,87,58,61,67,67,70,24,13,32,29,30,26,19,17,18,15,9,1,37,247,245
14,248,255,255,251,255,159,5,0,8,19,12,6,8,20,10,17,5,10,12,10,10,14,16,14,17,72,245,241
15,253,255,254,243,255,171,23,34,33,39,25,34,30,54,39,54,77,89,102,108,113,118,121,120,147,216,254,254
16,255,255,255,255,255,243,221,203,213,215,218,222,226,230,233,235,254,254,254,254,254,254,255,255,255,255,255,255
17,255,254,251,253,255,255,251,244,252,253,253,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
18,255,255,252,251,253,255,255,255,255,255,255,255,254,253,252,252,255,255,255,255,255,255,255,255,255,255,255,255
19,255,255,255,255,253,251,251,251,255,255,255,255,254,254,254,254,255,255,255,255,255,255,255,255,255,255,255,255
20,249,253,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
21,255,255,255,253,252,253,255,255,254,253,253,252,252,251,251,250,255,255,255,255,255,255,255,255,255,255,255,255
22,255,255,254,251,251,251,251,252,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
23,252,253,254,255,255,255,255,254,252,253,253,254,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
