,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,241,255,248,255,255,245,255,243,255,246,255,255,254,254,254,252,254,252,249,255,249,255,252,252,255,255,255,255
1,255,255,247,252,249,242,253,255,255,255,255,250,253,251,251,254,243,254,251,255,246,255,255,249,255,255,255,255
2,246,240,255,255,255,255,251,255,242,254,254,250,254,254,249,254,250,254,242,255,245,239,251,255,255,255,255,255
3,255,255,255,252,244,255,253,254,251,254,254,251,243,240,244,251,254,219,177,199,237,255,255,255,255,255,255,255
4,254,235,145,135,122,120,122,119,142,140,149,132,85,63,55,34,60,44,24,15,106,254,255,254,255,255,255,255
5,254,188,27,16,12,9,15,21,11,11,22,19,5,15,28,19,17,20,10,0,85,234,249,255,255,255,255,255
6,254,195,43,11,8,29,12,16,16,30,10,1,23,29,14,18,21,44,28,72,163,249,254,248,255,255,255,255
7,248,254,209,176,156,166,66,16,23,100,120,147,205,152,38,6,91,216,225,244,247,253,255,249,255,255,255,255
8,254,248,254,248,254,254,90,12,21,196,252,249,254,192,30,10,105,254,255,250,255,253,250,255,255,255,255,255
9,254,252,254,253,254,254,115,15,14,167,251,253,254,197,28,10,92,252,255,251,255,254,250,255,255,255,255,255
10,254,254,254,254,254,254,155,18,7,125,251,254,254,204,26,12,77,244,255,253,255,254,251,255,255,255,255,255
11,253,255,253,254,251,254,192,21,8,89,251,254,254,209,25,15,69,242,255,253,255,253,252,255,255,255,255,255
12,251,255,251,255,249,253,215,23,15,69,251,254,254,211,26,17,70,245,255,252,255,253,253,255,255,255,255,255
13,252,255,252,255,249,252,222,26,18,64,250,254,254,209,28,17,73,247,255,251,255,254,254,255,255,255,255,255
14,254,254,255,255,251,252,220,30,15,66,247,250,254,207,30,13,71,246,255,250,255,255,254,255,255,255,255,255
15,255,254,255,253,254,253,215,33,10,68,245,247,254,206,32,10,68,243,255,250,255,255,254,251,255,255,255,255
16,255,255,249,254,244,255,227,29,13,33,230,254,252,219,26,14,69,236,255,255,255,238,255,254,255,255,255,255
17,255,227,245,255,239,248,234,31,17,44,221,254,249,208,34,13,55,254,251,237,255,251,245,255,255,255,255,255
18,252,255,250,170,102,188,236,60,7,51,205,254,250,193,40,1,66,224,144,121,196,248,255,255,255,255,255,255
19,249,255,156,42,10,38,69,30,28,28,70,74,71,62,21,23,17,71,23,21,83,238,255,249,255,255,255,255
20,255,235,87,4,27,12,5,33,19,17,20,21,20,18,16,20,20,9,11,1,24,211,255,242,255,255,255,255
21,255,250,134,27,17,37,34,7,25,25,18,20,20,20,28,29,39,22,36,32,80,232,253,255,255,255,255,255
22,255,255,243,215,196,203,216,200,202,207,207,211,212,209,209,203,202,199,201,207,237,255,251,246,255,255,255,255
23,249,255,255,255,255,253,254,254,254,254,254,253,253,254,254,251,254,254,253,255,253,238,255,255,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,254,254,254,254,254,254,254,254,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,254,254,254,254,254,254,254,254,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,254,254,254,254,254,254,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,254,254,254,254,254,254,255,255,255,255,255,255,255,255,255,255
