,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,249,255,251,255,250,255,255,255,255,255,255,255,255,254,255,255,252,255,247,255,255,251,255,255,255,255
1,247,255,255,252,240,255,247,251,253,253,252,252,252,253,253,253,251,254,247,251,255,255,255,255,255,255,255,255
2,247,255,250,255,255,255,255,253,254,255,255,255,255,255,255,255,255,255,255,252,255,255,247,254,255,255,255,255
3,255,255,243,255,255,247,247,255,255,255,253,252,253,254,255,255,243,252,248,252,245,252,252,255,255,255,255,255
4,255,255,252,255,252,243,255,255,253,245,233,223,221,225,234,240,255,251,254,255,245,255,250,251,255,255,255,255
5,247,255,255,255,255,255,253,145,74,63,46,32,28,35,47,55,61,69,119,214,246,255,255,253,255,255,255,255
6,255,255,255,249,248,251,210,24,3,2,0,0,0,0,2,3,0,0,30,127,255,255,251,250,255,255,255,255
7,255,248,255,255,244,252,250,84,33,47,67,84,90,83,70,60,63,19,4,53,255,252,246,255,255,255,255,255
8,252,253,255,255,254,255,250,249,225,240,248,253,255,255,250,250,248,53,0,69,245,252,255,255,255,255,255,255
9,254,255,255,252,253,255,255,247,254,255,255,246,254,255,255,250,248,79,0,42,233,255,255,249,255,255,255,255
10,255,255,255,253,250,250,255,252,240,245,255,247,255,250,255,253,237,106,9,16,207,253,249,255,255,255,255,255
11,255,247,255,255,254,237,255,255,244,204,187,160,167,167,223,255,255,137,13,9,212,255,241,247,255,255,255,255
12,254,247,255,255,255,251,255,205,49,20,17,3,0,0,43,66,115,69,0,0,182,255,252,255,255,255,255,255
13,253,255,255,241,255,255,245,115,5,0,10,16,0,4,10,0,2,19,12,18,164,248,253,255,255,255,255,255
14,255,255,255,240,255,254,242,98,4,12,66,158,147,126,69,31,10,0,0,52,196,255,255,243,255,255,255,255
15,253,253,255,253,255,245,255,158,17,0,60,232,255,255,225,231,204,158,170,209,255,251,243,255,255,255,255,255
16,253,254,255,255,255,254,253,254,93,0,17,208,255,251,255,253,255,249,251,255,247,255,243,255,255,255,255,255
17,255,255,255,255,253,252,252,253,121,15,26,204,250,253,255,254,251,255,255,255,249,255,242,246,255,255,255,255
18,255,255,255,253,253,254,255,255,131,11,11,201,252,255,248,255,255,255,255,255,249,255,255,255,255,255,255,255
19,254,255,255,254,255,255,255,255,117,0,7,209,255,255,239,255,255,247,248,255,255,249,242,252,255,255,255,255
20,252,255,255,255,255,255,254,246,80,6,40,199,242,255,241,255,248,251,255,255,255,255,255,255,255,255,255,255
21,253,255,255,253,253,255,246,234,38,4,27,69,58,63,53,55,77,132,182,205,232,241,255,242,255,255,255,255
22,253,255,255,251,253,255,250,236,33,0,7,0,0,2,6,5,0,11,15,13,45,92,209,255,255,255,255,255
23,253,255,255,250,255,255,255,247,148,69,64,51,67,60,61,60,31,9,0,0,2,10,147,255,255,255,255,255
24,255,255,255,255,255,255,255,255,250,250,250,250,250,250,250,250,213,166,146,106,49,92,202,255,255,255,255,255
25,255,255,255,255,255,255,255,255,254,254,254,254,254,254,254,254,255,239,255,255,241,242,255,253,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,249,249,255,254,255,255,245,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,252,254,254,255,255,255,255,255,255
