,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,250,255,253,254,255,251,246,255,255,254,255,255,252,255,255,251,255,255,255,255
1,255,255,255,255,255,255,255,255,246,255,251,255,255,240,255,244,254,251,249,251,254,253,253,255,255,255,255,255
2,255,255,255,255,255,255,255,255,255,255,244,250,254,255,255,245,252,255,253,251,255,252,246,255,255,255,255,255
3,255,255,255,255,255,255,255,255,255,249,255,255,247,233,106,106,224,255,255,249,255,255,247,255,255,255,255,255
4,255,255,255,255,255,255,255,255,255,252,255,255,255,156,0,3,187,245,255,243,254,255,254,255,255,255,255,255
5,255,255,255,255,255,255,255,255,255,255,248,239,255,77,3,33,198,250,255,249,251,255,254,250,255,255,255,255
6,255,255,255,255,255,255,255,255,241,255,254,255,202,19,1,58,240,255,255,255,253,255,254,248,255,255,255,255
7,255,255,255,255,255,255,255,255,255,255,255,255,110,8,3,121,255,249,250,255,254,255,255,255,255,255,255,255
8,255,247,255,255,252,255,248,249,255,255,255,227,55,7,0,148,255,238,254,255,251,255,255,251,255,255,255,255
9,255,254,255,253,255,252,247,255,240,255,238,167,15,17,10,54,228,255,255,246,255,244,255,255,255,255,255,255
10,245,255,252,244,255,255,252,248,255,247,222,42,4,10,0,9,101,255,238,255,255,251,255,247,255,255,255,255
11,248,255,250,252,253,253,255,243,238,206,67,6,0,74,63,0,12,187,252,255,254,255,255,249,255,255,255,255
12,255,249,249,255,247,242,255,243,161,24,0,9,51,231,176,0,16,81,255,232,249,255,239,255,255,255,255,255
13,254,250,255,255,250,255,225,123,16,0,6,64,239,255,224,68,0,27,160,255,255,255,245,255,255,255,255,255
14,249,255,255,245,255,239,121,0,11,13,138,247,227,255,245,163,4,15,32,207,233,255,255,245,255,255,255,255
15,255,253,253,255,255,166,27,3,18,168,241,255,251,255,250,253,107,1,15,25,152,236,255,255,255,255,255,255
16,251,255,252,255,187,22,16,8,162,238,255,252,255,255,249,255,229,71,1,14,2,85,230,255,255,255,255,255
17,255,252,253,196,52,4,1,111,233,255,255,249,255,255,245,251,254,231,102,16,13,11,100,254,255,255,255,255
18,255,244,255,102,0,12,96,242,255,255,246,247,255,255,245,255,252,255,255,188,49,25,160,255,255,255,255,255
19,248,248,245,90,17,81,207,255,250,252,248,253,255,253,249,255,255,238,245,255,220,222,255,238,255,255,255,255
20,253,255,255,216,156,221,255,254,249,255,255,255,255,255,253,255,241,255,255,255,255,251,255,255,255,255,255,255
21,251,239,255,255,239,255,246,242,255,255,255,250,252,255,255,247,255,255,252,254,249,245,255,250,255,255,255,255
22,255,238,255,248,255,255,255,255,255,251,250,249,249,255,255,250,246,255,242,242,255,255,251,255,255,255,255,255
23,248,255,251,255,247,255,253,252,253,251,255,255,251,248,255,255,253,253,252,255,251,245,255,253,255,255,255,255
24,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
