,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,254,247,250,255,252,247,254,251,250,255,255,255,255,255,254,252,254,254,252,253,255,255,255,255,255
1,255,244,246,255,255,255,255,255,255,255,255,255,255,245,246,255,255,255,255,254,255,255,255,249,255,255,255,255
2,255,255,255,254,255,246,243,255,255,245,245,252,251,254,255,255,247,250,253,253,252,252,255,255,255,255,255,255
3,251,255,255,248,253,255,255,255,255,255,255,255,251,255,255,246,255,255,255,255,255,251,252,255,255,255,255,255
4,254,255,251,252,255,255,253,247,246,253,255,255,254,251,252,250,248,253,254,252,255,255,255,252,255,255,255,255
5,255,248,255,255,250,239,251,255,255,252,238,247,255,253,249,255,234,255,255,255,248,254,255,255,255,255,255,255
6,255,245,255,255,250,255,255,242,245,255,255,247,255,255,247,255,255,216,192,225,254,248,246,255,255,255,255,255
7,255,246,255,251,243,255,216,90,85,213,255,246,254,255,246,255,248,71,0,123,254,255,244,255,255,255,255,255
8,255,255,255,255,248,252,181,0,0,90,255,252,245,255,250,248,236,43,0,70,255,255,251,255,255,255,255,255
9,252,228,255,255,255,249,174,0,16,0,208,255,246,255,255,255,233,26,0,66,245,244,255,250,255,255,255,255
10,255,254,254,255,253,244,180,2,2,0,191,255,245,249,252,242,244,32,0,29,227,250,255,255,255,255,255,255
11,255,255,255,255,249,255,122,0,4,5,141,255,255,250,249,255,232,46,1,0,182,255,242,255,255,255,255,255
12,254,239,255,242,247,253,31,5,3,3,91,252,240,255,255,245,229,39,15,0,107,255,241,255,255,255,255,255
13,255,255,255,252,255,135,2,8,0,0,63,241,255,255,250,248,252,28,1,0,39,236,255,253,255,255,255,255
14,241,255,251,247,208,31,4,30,71,0,17,173,253,254,232,255,168,19,0,1,6,136,239,249,255,255,255,255
15,255,236,243,145,41,0,0,131,173,9,5,3,90,254,253,117,0,4,8,18,0,4,146,238,255,255,255,255
16,255,246,139,8,0,0,86,236,255,86,12,0,17,207,252,25,9,0,141,163,5,0,3,146,255,255,255,255
17,252,255,176,16,20,120,220,252,238,250,180,92,140,255,253,145,73,179,248,235,149,52,15,183,255,255,255,255
18,255,248,249,226,228,248,255,248,253,255,254,244,252,246,243,255,252,255,242,251,255,230,206,252,255,255,255,255
19,255,248,255,255,245,251,255,246,253,238,255,255,252,251,255,255,251,245,255,255,246,229,255,255,255,255,255,255
20,246,255,255,255,255,255,255,253,254,255,255,240,254,255,255,241,255,251,255,247,255,255,255,243,255,255,255,255
21,255,255,237,252,255,253,240,255,255,255,248,255,255,250,240,255,252,250,255,230,252,255,255,255,255,255,255,255
22,245,255,255,255,255,255,250,244,248,248,255,255,245,252,255,253,255,252,255,255,255,255,254,244,255,255,255,255
23,255,253,250,255,237,249,254,255,255,255,252,254,255,255,255,253,247,255,245,245,255,253,247,255,255,255,255,255
24,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
27,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
