,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,253,254,255,255,255,255,255,255,254,255,255,255,255,255,255,255,255,255,255,254,255,255,255,255,255,255,255,255
1,255,255,255,255,254,254,253,253,255,255,255,255,254,253,253,252,255,255,255,255,255,254,251,250,255,255,255,255
2,255,255,255,253,253,253,253,253,255,255,255,255,255,255,255,255,251,251,251,249,248,250,255,255,255,255,255,255
3,255,255,254,254,253,254,255,255,254,253,252,252,253,254,255,255,255,255,255,255,255,253,253,255,255,255,255,255
4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,248,245,248,255,255,255,251,249,255,255,255,255
5,253,254,255,255,255,255,255,255,248,250,252,253,255,255,255,255,255,255,250,253,254,252,254,255,255,255,255,255
6,252,254,255,255,255,253,250,248,255,255,255,255,255,255,251,248,248,247,253,255,255,249,251,255,255,255,255,255
7,253,254,255,255,254,249,244,241,193,190,184,175,162,148,135,128,92,128,189,243,255,254,250,255,255,255,255,255
8,252,255,252,238,255,250,102,30,7,0,2,0,0,3,0,4,9,0,50,249,252,255,236,255,255,255,255,255
9,255,254,255,255,248,142,24,5,2,5,8,3,2,4,0,4,0,16,109,231,245,255,255,255,255,255,255,255
10,255,250,255,255,238,63,0,0,29,53,68,78,93,104,113,122,160,189,245,253,255,244,255,242,255,255,255,255
11,252,253,255,255,242,52,2,5,208,245,252,253,255,253,255,255,247,251,255,248,255,247,255,255,255,255,255,255
12,255,255,254,250,243,48,9,2,198,251,253,253,255,251,254,254,255,255,254,249,255,251,250,255,255,255,255,255
13,255,254,254,255,244,45,1,8,198,255,255,253,255,250,253,249,249,255,252,248,251,254,250,254,255,255,255,255
14,255,251,255,255,247,64,2,7,186,255,246,245,255,251,255,251,249,244,248,253,255,255,255,251,255,255,255,255
15,255,255,255,254,245,90,5,0,121,185,149,122,114,77,64,46,43,30,86,161,236,243,255,253,255,255,255,255
16,254,255,246,255,255,111,0,3,16,0,4,2,0,7,0,2,0,0,0,0,191,255,242,255,255,255,255,255
17,255,255,247,249,248,148,3,7,0,2,8,0,0,8,4,0,27,28,89,168,245,255,251,255,255,255,255,255
18,255,250,255,255,251,182,0,0,20,71,103,128,146,152,182,216,218,222,242,255,244,241,255,254,255,255,255,255
19,255,242,255,255,255,210,7,4,44,204,255,254,250,255,255,241,248,255,255,255,251,255,255,242,255,255,255,255
20,255,247,255,251,247,244,57,6,0,168,253,255,250,229,197,145,95,90,192,237,255,254,249,255,255,255,255,255
21,255,255,255,245,246,255,119,0,0,41,83,118,109,46,5,0,0,0,180,248,255,241,255,255,255,255,255,255
22,251,255,255,255,252,255,196,55,7,1,3,0,0,0,0,0,15,86,227,255,255,252,255,243,255,255,255,255
23,255,250,244,255,251,250,255,180,50,0,0,4,2,11,31,83,166,255,255,244,255,255,253,255,255,255,255,255
24,255,255,255,255,255,255,255,255,225,176,129,122,147,187,227,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,253,248,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,255,252,248,251,249,243,243,248,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
