,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,253,253,254,255,248,255,248,249,254,255,248,255,255,255,255,255,255,255,255,255,255,255,255,255
1,255,255,255,255,254,254,255,255,249,255,255,249,255,254,255,246,255,255,255,255,255,255,255,255,255,255,255,255
2,254,254,254,254,255,255,255,255,255,243,255,248,244,220,250,251,255,255,255,255,255,255,255,255,255,255,255,255
3,254,253,253,254,255,255,255,254,218,149,185,255,149,31,88,248,255,255,255,255,255,255,255,255,255,255,255,255
4,254,253,252,254,255,255,254,251,70,16,59,235,89,1,23,213,255,255,255,255,255,255,255,255,255,255,255,255
5,255,253,252,254,255,255,252,248,49,17,56,253,117,43,4,133,255,255,255,255,255,255,255,255,255,255,255,255
6,255,254,252,254,255,255,250,245,50,0,59,254,144,12,1,152,255,255,255,255,255,255,255,255,255,255,255,255
7,255,255,253,254,255,255,249,243,63,6,40,144,110,29,20,89,255,255,255,255,255,255,255,255,255,255,255,255
8,255,255,253,252,255,255,245,220,36,26,5,12,19,24,8,80,254,254,255,255,255,254,254,255,255,255,255,255
9,255,255,254,252,255,255,247,227,36,14,36,28,3,24,10,74,253,254,255,255,255,255,254,255,255,255,255,255
10,255,255,255,253,255,255,251,237,63,7,29,89,52,9,18,72,250,253,255,255,255,255,255,255,255,255,255,255
11,254,255,255,254,255,255,254,248,78,16,25,222,211,33,27,53,247,253,255,255,254,255,255,255,255,255,255,255
12,255,255,255,255,254,255,254,254,86,23,15,204,223,38,21,53,243,252,255,255,254,255,255,255,255,255,255,255
13,255,255,255,255,254,254,254,254,89,16,10,55,77,17,9,64,239,252,255,255,253,255,255,255,255,255,255,255
14,255,255,255,255,255,254,254,254,85,8,31,16,21,24,18,45,236,251,255,255,252,255,255,255,255,255,255,255
15,255,255,253,255,255,254,254,254,103,2,19,31,23,15,35,32,235,251,255,255,252,255,255,255,255,255,255,255
16,255,255,255,255,255,255,254,254,108,11,17,150,217,45,20,40,218,255,255,255,248,255,255,250,255,255,255,255
17,255,255,255,255,255,255,254,254,104,15,25,185,251,65,8,10,210,255,249,255,252,255,253,255,255,255,255,255
18,255,255,255,255,255,255,254,254,130,19,7,166,253,74,23,30,194,255,248,254,255,255,246,255,255,255,255,255
19,255,255,255,255,255,255,255,254,145,13,5,138,254,66,11,9,169,255,255,255,255,255,243,255,255,255,255,255
20,255,255,255,255,255,255,255,254,167,12,14,104,254,80,22,14,145,251,255,255,255,255,246,255,255,255,255,255
21,255,255,255,255,255,255,255,255,198,17,14,56,234,94,16,8,151,246,255,253,253,255,251,254,255,255,255,255
22,255,255,255,255,255,255,255,255,217,26,13,41,221,144,22,12,196,252,249,255,252,255,253,254,255,255,255,255
23,255,255,255,255,255,255,255,255,247,42,4,35,236,253,145,168,243,255,246,255,255,255,252,255,255,255,255,255
24,255,255,255,255,255,255,255,255,255,157,104,166,245,254,252,254,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,251,251,255,255,248,249,255,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,253,255,253,248,255,255,255,243,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,253,249,250,250,248,252,255,255,255,255,255,255,255,255,255,255,255,255,255
