,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,248,254,255,254,255,255,255,251,253,255,248,255,255,241,255,255,255,255,255,255
1,255,255,255,255,255,255,255,255,255,255,254,255,242,252,255,255,255,255,243,243,255,243,255,249,255,255,255,255
2,255,255,255,255,255,255,255,255,255,248,245,255,255,255,254,254,238,255,255,236,255,253,255,255,255,255,255,255
3,255,255,255,255,255,255,255,255,255,247,247,255,250,248,251,255,255,255,242,255,246,255,253,255,255,255,255,255
4,255,255,255,255,255,255,255,255,251,255,255,252,254,245,254,255,250,116,94,218,255,255,242,255,255,255,255,255
5,255,255,255,255,255,255,255,255,251,255,202,159,210,255,255,251,210,7,0,111,252,251,255,255,255,255,255,255
6,255,255,255,255,255,255,255,255,255,244,79,6,88,244,255,255,235,58,9,52,231,255,255,248,255,255,255,255
7,255,255,255,255,255,255,255,255,240,255,69,0,49,243,241,255,254,92,0,25,216,255,246,255,255,255,255,255
8,249,255,255,252,254,255,249,255,240,255,104,5,9,198,251,255,247,147,0,10,177,254,255,253,255,255,255,255
9,255,253,252,255,255,251,255,255,255,249,129,14,6,154,255,248,255,171,11,0,153,249,255,253,255,255,255,255
10,255,255,246,255,255,251,255,211,134,91,50,7,0,125,255,255,255,191,22,0,132,250,255,251,255,255,255,255
11,252,255,249,255,254,255,243,134,16,0,0,26,8,117,244,254,255,196,23,0,125,255,255,250,255,255,255,255
12,248,255,250,255,251,255,249,147,9,23,45,19,0,93,242,255,253,200,19,2,115,255,255,254,255,255,255,255
13,251,255,249,255,251,249,255,233,215,235,235,54,4,61,251,253,255,216,23,0,94,251,254,255,255,255,255,255
14,255,252,252,255,255,251,255,255,248,245,250,54,0,53,255,255,255,236,40,0,73,248,255,255,255,255,255,255
15,255,255,255,252,255,255,240,236,178,147,166,55,0,63,254,242,245,248,57,3,64,250,255,254,255,255,255,255
16,249,255,253,253,254,255,255,85,1,11,0,18,8,63,247,255,246,246,61,3,60,255,255,244,255,255,255,255
17,250,255,255,255,255,249,247,124,0,13,20,14,2,63,248,255,255,252,66,0,32,221,251,255,255,255,255,255
18,255,251,252,255,255,249,255,214,156,161,155,51,4,60,245,254,245,255,110,3,27,216,252,253,255,255,255,255
19,255,249,252,252,254,255,255,255,255,255,245,66,0,58,248,255,247,255,124,0,17,202,251,254,255,255,255,255
20,254,251,255,255,255,255,243,253,253,250,254,64,0,53,240,253,255,249,126,4,31,197,250,255,255,255,255,255
21,254,255,255,255,250,255,250,252,255,254,255,79,1,38,223,242,252,250,141,0,16,200,255,252,255,255,255,255
22,255,255,248,255,244,255,255,255,255,255,250,93,1,23,218,255,251,254,174,18,45,209,255,252,255,255,255,255
23,255,255,247,255,248,251,255,247,251,255,253,117,13,19,215,255,254,251,251,190,209,255,255,255,255,255,255,255
24,255,255,255,255,255,255,255,255,255,250,255,219,140,159,237,255,255,255,255,255,255,255,255,255,255,255,255,255
25,255,255,255,255,255,255,255,255,255,247,255,255,236,252,255,248,255,255,255,255,255,255,255,255,255,255,255,255
26,255,255,255,255,255,255,255,255,249,247,253,255,255,255,255,243,255,255,255,255,255,255,255,255,255,255,255,255
27,255,255,255,255,255,255,255,255,255,255,255,248,244,248,255,255,255,255,255,255,255,255,255,255,255,255,255,255
