,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
2,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
3,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
6,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,252,190
8,255,255,255,255,255,255,255,255,255,243,255,255,243,253,255,251,255,242,255,255,249,255,255,247,254,255,252,190
9,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,251,254,255,255,255,254,255,252,190
10,255,255,255,255,255,255,255,255,245,255,255,254,255,252,244,255,247,255,255,249,255,248,242,255,254,255,252,190
11,255,255,255,255,255,255,255,255,255,255,252,253,255,254,255,255,254,255,252,255,255,254,254,255,254,255,252,190
12,255,255,255,255,255,255,255,255,255,255,242,251,251,250,255,254,255,253,242,255,255,249,255,252,254,255,252,190
13,255,255,255,255,255,255,255,255,245,255,255,255,255,240,255,250,246,255,252,255,255,237,253,254,254,255,252,190
14,255,255,255,255,255,255,255,255,250,255,181,186,252,254,254,255,250,252,177,189,255,253,253,255,254,255,252,190
15,255,255,255,255,255,255,255,255,255,193,2,6,193,255,249,250,251,186,3,21,209,255,248,253,254,255,252,190
16,253,255,250,255,252,255,252,255,255,196,0,4,109,255,246,255,248,151,2,0,195,245,255,255,253,255,251,189
17,255,255,249,254,255,255,247,252,244,239,38,0,67,255,254,253,255,152,0,0,193,251,255,249,253,255,251,189
18,240,251,255,255,255,255,252,255,250,252,48,0,66,254,254,255,246,145,3,1,190,255,255,254,253,255,251,189
19,255,255,253,244,249,243,249,255,255,232,22,0,74,255,252,254,255,150,7,1,175,247,250,253,253,255,251,189
20,255,249,254,255,255,255,255,254,255,245,52,0,67,242,255,255,255,132,0,2,179,255,255,255,253,255,251,189
21,251,254,255,239,131,88,75,70,57,72,6,6,23,74,59,49,52,37,9,2,49,65,103,202,253,255,251,189
22,255,255,253,208,22,0,0,16,17,7,0,5,0,0,0,11,5,0,0,0,9,0,0,97,253,255,251,189
23,251,246,254,245,59,31,22,12,12,10,17,18,14,7,25,0,8,4,10,16,19,6,38,167,253,255,251,189
24,255,255,253,249,245,241,237,235,229,227,225,221,218,214,212,210,212,211,211,214,221,231,241,248,254,255,249,186
25,255,255,255,255,255,255,255,254,255,255,255,255,254,253,253,252,255,255,253,252,252,253,255,255,255,255,254,192
26,250,251,252,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,252,249,253,248,190
27,187,188,188,189,190,189,189,189,187,187,187,187,186,186,186,186,181,183,185,187,189,188,188,187,183,188,186,134
